theater,title,director,year,theater_film_link,dates,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cineteca Madrid,Perfect Blue,Satoshi Kon,1997,https://www.cinetecamadrid.com/programacion/perfect-blue-0,['2025-01-15 20:00'],https://letterboxd.com/film/perfect-blue/,4.4,913000.0
Cine doré,La notte,Michelangelo Antonioni,1961,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4709,['2025-01-12 21:00'],https://letterboxd.com/film/la-notte/,4.3,83000.0
Cine doré,Dog Day Afternoon,Sidney Lumet,1975,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4689,['2025-01-04 19:00'],https://letterboxd.com/film/dog-day-afternoon/,4.3,445000.0
Cine doré,La dolce vita,Federico Fellini,1960,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4683,['2025-01-02 19:00'],https://letterboxd.com/film/la-dolce-vita/,4.3,181000.0
Cineteca Madrid,Tokyo Godfathers,Satoshi Kon,2003,https://www.cinetecamadrid.com/programacion/tokyo-godfathers,['2025-01-18 20:00'],https://letterboxd.com/film/tokyo-godfathers/,4.2,228000.0
Cineteca Madrid,Millennium Actress,Satoshi Kon,2001,https://www.cinetecamadrid.com/programacion/millennium-actress,['2025-01-16 20:00'],https://letterboxd.com/film/millennium-actress/,4.2,142000.0
Cineteca Madrid,"Synecdoche, New York",Charlie Kaufman,2008,https://www.cinetecamadrid.com/programacion/synecdoche-new-york,['2025-01-29 20:00'],https://letterboxd.com/film/synecdoche-new-york/,4.2,308000.0
Cineteca Madrid,"Paprika, detective de los sueños",Satoshi Kon,2006,https://www.cinetecamadrid.com/programacion/paprika-detective-de-los-suenos,['2025-01-19 20:00'],https://letterboxd.com/film/paprika-2006/,4.1,505000.0
Cine doré,Victor Erice,El sur,1983,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4707,"['2025-01-12 17:30', '2025-01-21 17:30']",https://letterboxd.com/film/el-sur/,4.1,21000.0
Cine doré,Cool Hand Luke,Stuart Rosenberg,1967,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4714,['2025-01-15 20:30'],https://letterboxd.com/film/cool-hand-luke/,4.1,143000.0
Cine doré,Being There,Hal Ashby,1979,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4722,"['2025-01-18 20:30', '2025-01-12 19:30']",https://letterboxd.com/film/being-there/,4.1,90000.0
Cineteca Madrid,"Goodbye, Dragon Inn",Tsai Ming-liang,2003,https://www.cinetecamadrid.com/programacion/goodbye-dragon-inn-1,['2025-01-11 20:00'],https://letterboxd.com/film/goodbye-dragon-inn/,4.0,49000.0
Cineteca Madrid,El reportero,Michelangelo Antonioni,1975,https://www.cinetecamadrid.com/programacion/el-reportero,['2025-01-26 20:30'],https://letterboxd.com/film/the-passenger/,4.0,46000.0
