theater,title,theater_film_link,dates,director,year,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cines Renoir,Marty Supreme,https://www.cinesrenoir.com/pelicula/marty-supreme/,"[{'location': 'Retiro', 'timestamp': '2026-02-06 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-06 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-06 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-06 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-06 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-06 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-06 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-06 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-06 21:50'}, {'location': 'Retiro', 'timestamp': '2026-02-07 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-07 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-07 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-07 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-07 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-07 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-07 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-07 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-07 21:50'}, {'location': 'Retiro', 'timestamp': '2026-02-08 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-08 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-08 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-08 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-08 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-08 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-08 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-08 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-08 21:50'}, {'location': 'Retiro', 'timestamp': '2026-02-09 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-09 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-09 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-09 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-09 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-09 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-09 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-09 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-09 21:50'}, {'location': 'Retiro', 'timestamp': '2026-02-10 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-10 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-10 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-10 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-10 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-10 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-10 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-10 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-10 21:50'}, {'location': 'Retiro', 'timestamp': '2026-02-11 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-11 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-11 18:00'}, {'location': 'Retiro', 'timestamp': '2026-02-11 19:00'}, {'location': 'Princesa', 'timestamp': '2026-02-11 19:00'}, {'location': 'Retiro', 'timestamp': '2026-02-11 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-11 20:45'}, {'location': 'Retiro', 'timestamp': '2026-02-11 21:45'}, {'location': 'Princesa', 'timestamp': '2026-02-11 21:50'}]",Josh Safdie,2025,https://letterboxd.com/film/marty-supreme/,4.2,
Cines Renoir,Hamnet,https://www.cinesrenoir.com/pelicula/hamnet/,"[{'location': 'Princesa', 'timestamp': '2026-02-06 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-06 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-06 17:55'}, {'location': 'Retiro', 'timestamp': '2026-02-06 18:00'}, {'location': 'Princesa', 'timestamp': '2026-02-06 19:15'}, {'location': 'Princesa', 'timestamp': '2026-02-06 20:15'}, {'location': 'Retiro', 'timestamp': '2026-02-06 20:20'}, {'location': 'Princesa', 'timestamp': '2026-02-06 22:10'}, {'location': 'Retiro', 'timestamp': '2026-02-06 22:40'}, {'location': 'Princesa', 'timestamp': '2026-02-07 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-07 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-07 17:55'}, {'location': 'Retiro', 'timestamp': '2026-02-07 18:00'}, {'location': 'Princesa', 'timestamp': '2026-02-07 19:15'}, {'location': 'Princesa', 'timestamp': '2026-02-07 20:15'}, {'location': 'Retiro', 'timestamp': '2026-02-07 20:20'}, {'location': 'Princesa', 'timestamp': '2026-02-07 22:10'}, {'location': 'Retiro', 'timestamp': '2026-02-07 22:40'}, {'location': 'Princesa', 'timestamp': '2026-02-08 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-08 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-08 17:55'}, {'location': 'Retiro', 'timestamp': '2026-02-08 18:00'}, {'location': 'Princesa', 'timestamp': '2026-02-08 19:15'}, {'location': 'Princesa', 'timestamp': '2026-02-08 20:15'}, {'location': 'Retiro', 'timestamp': '2026-02-08 20:20'}, {'location': 'Princesa', 'timestamp': '2026-02-08 22:10'}, {'location': 'Retiro', 'timestamp': '2026-02-08 22:40'}, {'location': 'Retiro', 'timestamp': '2026-02-09 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-09 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-09 17:55'}, {'location': 'Retiro', 'timestamp': '2026-02-09 18:00'}, {'location': 'Princesa', 'timestamp': '2026-02-09 19:15'}, {'location': 'Princesa', 'timestamp': '2026-02-09 20:15'}, {'location': 'Retiro', 'timestamp': '2026-02-09 20:20'}, {'location': 'Princesa', 'timestamp': '2026-02-09 22:10'}, {'location': 'Retiro', 'timestamp': '2026-02-09 22:40'}, {'location': 'Princesa', 'timestamp': '2026-02-10 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-10 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-10 17:55'}, {'location': 'Retiro', 'timestamp': '2026-02-10 18:00'}, {'location': 'Princesa', 'timestamp': '2026-02-10 19:15'}, {'location': 'Princesa', 'timestamp': '2026-02-10 20:15'}, {'location': 'Retiro', 'timestamp': '2026-02-10 20:20'}, {'location': 'Princesa', 'timestamp': '2026-02-10 22:10'}, {'location': 'Retiro', 'timestamp': '2026-02-10 22:40'}, {'location': 'Retiro', 'timestamp': '2026-02-11 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-11 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-11 17:55'}, {'location': 'Retiro', 'timestamp': '2026-02-11 18:00'}, {'location': 'Princesa', 'timestamp': '2026-02-11 19:15'}, {'location': 'Princesa', 'timestamp': '2026-02-11 20:15'}, {'location': 'Retiro', 'timestamp': '2026-02-11 20:20'}, {'location': 'Princesa', 'timestamp': '2026-02-11 22:10'}, {'location': 'Retiro', 'timestamp': '2026-02-11 22:40'}]",Chloé Zhao,2025,https://letterboxd.com/film/hamnet/,4.2,
Cines Renoir,Ciudadano Kane,https://www.cinesrenoir.com/pelicula/ciudadano-kane-wilder-cinema/,"[{'timestamp': '2026-02-10 20:00', 'location': 'Princesa'}]",Orson Welles,1941,https://letterboxd.com/film/citizen-kane/,4.2,
Cines Renoir,Una Batalla Tras Otra,https://www.cinesrenoir.com/pelicula/una-batalla-tras-otra/,"[{'location': 'Princesa', 'timestamp': '2026-02-06 21:40'}, {'location': 'Princesa', 'timestamp': '2026-02-07 21:40'}, {'location': 'Princesa', 'timestamp': '2026-02-08 21:40'}, {'location': 'Princesa', 'timestamp': '2026-02-09 21:40'}, {'location': 'Princesa', 'timestamp': '2026-02-10 21:40'}, {'location': 'Princesa', 'timestamp': '2026-02-11 21:40'}]",Paul Thomas Anderson,2025,https://letterboxd.com/film/one-battle-after-another/,4.2,
Cines Renoir,Valor Sentimental,https://www.cinesrenoir.com/pelicula/valor-sentimental/,"[{'location': 'Princesa', 'timestamp': '2026-02-06 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-06 19:20'}, {'location': 'Princesa', 'timestamp': '2026-02-06 21:50'}, {'location': 'Princesa', 'timestamp': '2026-02-07 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-07 19:20'}, {'location': 'Princesa', 'timestamp': '2026-02-07 21:50'}, {'location': 'Princesa', 'timestamp': '2026-02-08 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-08 19:20'}, {'location': 'Princesa', 'timestamp': '2026-02-08 21:50'}, {'location': 'Princesa', 'timestamp': '2026-02-09 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-09 19:20'}, {'location': 'Princesa', 'timestamp': '2026-02-09 21:50'}, {'location': 'Princesa', 'timestamp': '2026-02-10 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-10 19:20'}, {'location': 'Princesa', 'timestamp': '2026-02-10 21:50'}, {'location': 'Princesa', 'timestamp': '2026-02-11 16:10'}, {'location': 'Princesa', 'timestamp': '2026-02-11 19:20'}, {'location': 'Princesa', 'timestamp': '2026-02-11 21:50'}]",Joachim Trier,2025,https://letterboxd.com/film/sentimental-value-2025/,4.2,
Cine Doré,El tren,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-tren-1,"[{'timestamp': '2026-02-21 19:00', 'location': 'Cine Doré'}]",John Frankenheimer,1964,https://letterboxd.com/film/the-train/,4.1,
Cineteca Madrid,Alice,https://www.cinetecamadrid.com/programacion/alice,"[{'timestamp': '2026-02-15 12:00', 'location': 'Cineteca Madrid'}]",Jan Švankmajer,1988,https://letterboxd.com/film/alice-1988/,4.0,
Cine Doré,El eclipse,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-eclipse,"[{'timestamp': '2026-02-10 19:00', 'location': 'Cine Doré'}]",Michelangelo Antonioni,1962,https://letterboxd.com/film/leclisse/,4.0,
Cine Doré,El fantasma de la libertad,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-fantasma-de-la-libertad,"[{'timestamp': '2026-02-13 19:00', 'location': 'Cine Doré'}]",Luis Buñuel,1974,https://letterboxd.com/film/the-phantom-of-liberty/,4.0,
Cineteca Madrid,Historias de Filadelfia,https://www.cinetecamadrid.com/programacion/historias-de-filadelfia,"[{'timestamp': '2026-02-13 20:00', 'location': 'Cineteca Madrid'}]",George Cukor,1940,https://letterboxd.com/film/the-philadelphia-story/,4.0,
