theater,title,director,year,theater_film_link,dates,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cine doré,Terra Femme,Courtney Stephens,2021,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4806,"['2025-03-05 19:30', '2025-03-29 19:30']",https://letterboxd.com/film/terra-femme/,3.6,683.0
Cine doré,Sangam,Raj Kapoor,1964,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4818,['2025-03-09 18:30'],https://letterboxd.com/film/sangam/,3.6,1100.0
Cine doré,Picnic,Joshua Logan,1956,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4827,"['2025-03-13 21:00', '2025-03-29 21:00']",https://letterboxd.com/film/sunday-in-peking/,3.6,4900.0
Cine doré,Numéro deux,Jean-Luc Godard,1975,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4810,"['2025-03-07 17:30', '2025-03-19 17:30']",https://letterboxd.com/film/number-two-1975/,3.6,3500.0
Cineteca Madrid,El profesor Marston y Wonder Woman,Angela Robinson,2017,https://www.cinetecamadrid.com/programacion/el-profesor-marston-y-wonder-woman,['2025-03-28 20:30'],https://letterboxd.com/film/professor-marston-and-the-wonder-women/,3.6,47000.0
Cineteca Madrid,El vuelo del globo rojo,Hou Hsiao-Hsien,2007,https://www.cinetecamadrid.com/programacion/el-vuelo-del-globo-rojo,['2025-03-26 20:00'],https://letterboxd.com/film/flight-of-the-red-balloon/,3.6,5300.0
Cine doré,Furtivos,José Luis Borau,1975,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4841,"['2025-03-21 20:30', '2025-03-27 17:30']",https://letterboxd.com/film/poachers/,3.6,1400.0
Cine doré,Mi querida señorita,Jaime de Armiñán,1972,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4817,"['2025-03-09 17:30', '2025-03-20 17:30']",https://letterboxd.com/film/my-dearest-senorita/,3.6,1300.0
Cine doré,Craig’s Wife,Dorothy Arzner,1936,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4845,['2025-03-23 19:00'],https://letterboxd.com/film/craigs-wife/,3.5,1800.0
Cine doré,Nome,Sana Na N'Hada,2023,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4854,['2025-03-30 19:00'],https://letterboxd.com/film/nome/,3.5,429.0
Cine doré,Craig’s Wife,Dorothy Arzner,1936,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4816,['2025-03-08 21:00'],https://letterboxd.com/film/craigs-wife/,3.5,1800.0
Cine doré,"Un, dos, tres… al escondite inglés",Iván Zulueta,1970,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4837,['2025-03-19 19:30'],https://letterboxd.com/film/un-dos-tres-al-escondite-ingles/,3.5,584.0
Cine doré,"Un, dos, tres… al escondite inglés",Iván Zulueta,1970,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4825,['2025-03-13 17:30'],https://letterboxd.com/film/un-dos-tres-al-escondite-ingles/,3.5,584.0
Cineteca Madrid,The Diary of a Teenage Girl,Marielle Heller,2015,https://www.cinetecamadrid.com/programacion/diary-teenage-girl,['2025-03-30 20:30'],https://letterboxd.com/film/the-diary-of-a-teenage-girl/,3.5,113000.0
Cine doré,The Great McGinty,Preston Sturges,1940,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4853,['2025-03-29 17:30'],https://letterboxd.com/film/the-great-mcginty/,3.5,7400.0
Cineteca Madrid,Pollo con ciruelas,"Marjane Satrapi, Vincent Paronnaud",2011,https://www.cinetecamadrid.com/programacion/pollo-con-ciruelas,['2025-03-29 20:30'],https://letterboxd.com/film/chicken-with-plums/,3.5,6600.0
Cineteca Madrid,El gran museo,Johannes Holzhausen,2014,https://www.cinetecamadrid.com/programacion/el-gran-museo,['2025-03-18 20:00'],https://letterboxd.com/film/the-great-museum/,3.4,562.0
Cineteca Madrid,La restauración,David M. Mateo,2024,https://www.cinetecamadrid.com/programacion/la-restauracion-0,['2025-03-11 19:30'],https://letterboxd.com/film/red-vs-blue-restoration/,3.4,708.0
Cine doré,Bobby,Raj Kapoor,1973,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4834,['2025-03-16 19:00'],https://letterboxd.com/film/bobby/,3.4,1300.0
Cine doré,SITGES 70’s,,,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4852,['2025-03-28 19:30'],https://letterboxd.com/film/welcome-to-the-sticks/,3.3,64000.0
Cine doré,My Sister Eileen,Alexander Hall,1942,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4805,"['2025-03-05 17:30', '2025-03-20 21:00']",https://letterboxd.com/film/my-sister-eileen/,3.3,1200.0
Cine doré,The Undercover Man,Joseph H. Lewis,1949,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4800,['2025-03-14 17:30'],https://letterboxd.com/film/the-undercover-man/,3.3,1600.0
Cineteca Madrid,Banel & Adama,Ramata-Toulaye Sy,2023,https://www.cinetecamadrid.com/programacion/banel-adama,['2025-03-02 19:30'],https://letterboxd.com/film/banel-adama/,3.3,4700.0
Cineteca Madrid,Animalia,Sofia Alaoui,2023,https://www.cinetecamadrid.com/programacion/animalia,['2025-03-25 19:30'],https://letterboxd.com/film/animalia-2023/,3.1,4100.0
Cineteca Madrid,Daniela Forever,Nacho Vigalondo,2024,https://www.cinetecamadrid.com/programacion/daniela-forever,"['2025-03-28 18:00', '2025-03-29 20:00', '2025-03-30 18:00', '2025-03-02 18:00']",https://letterboxd.com/film/daniela-forever/,3.1,1700.0
Cineteca Madrid,Here (Aquí),Robert Zemeckis,2024,https://www.cinetecamadrid.com/programacion/here-aqui,['2025-03-27 20:30'],https://letterboxd.com/film/here-2024/,3.0,82000.0
Cine doré,The Killer that Stalked New York,Earl McEvoy,1950,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4833,"['2025-03-16 17:30', '2025-03-28 17:30']",https://letterboxd.com/film/the-killer-that-stalked-new-york/,3.0,2900.0
Cine doré,,,,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4798,[],https://letterboxd.com/film/films/,,12.0
Cine doré,,,,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4799,[],https://letterboxd.com/film/films/,,12.0
Cine doré,"Adiós, Alicia","Liko Pérez, Santiago San Miguel",1977,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4843,"['2025-03-22 19:00', '2025-03-26 19:00']",https://letterboxd.com/film/goodbye-alicia/,,29.0
Cineteca Madrid,Atlantiques + Dahomey,Mati Diop,,https://www.cinetecamadrid.com/programacion/atlantiques-dahomey,[],,,
Cine doré,Blockade,William Dieterle,1938,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4844,['2025-03-23 17:30'],https://letterboxd.com/film/blockade/,,318.0
Cine doré,Borau: Mecenas,,,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4811,['2025-03-07 19:00'],https://letterboxd.com/film/maisons-et-hotels-de-legende-auberge-du-pere-bise/,,0.0
Cine doré,Camada negra,Manuel Gutiérrez Aragón,1977,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4765,['2025-03-04 17:30'],https://letterboxd.com/film/black-litter/,,210.0
Cine doré,Carmen la de Triana,Florián Rey,1938,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4847,['2025-03-25 17:30'],https://letterboxd.com/film/carmen-la-de-triana/,,179.0
Cine doré,Celia. Episodios 3 y 4,José Luis Borau,1992,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4814,['2025-03-08 17:30'],,,
Cine doré,Celia. Episodios 5 y 6,José Luis Borau,1992,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4830,['2025-03-15 17:30'],,,
Cine doré,Classified People,Yolande Zauberman,1988,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4803,['2025-03-02 20:30'],,,
Cine doré,Classified People,Yolande Zauberman,1988,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4828,['2025-03-14 19:30'],,,
Cine doré,Crimen de doble filo,José Luis Borau,1965,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4824,['2025-03-12 19:30'],https://letterboxd.com/film/double-edged-crime/,,117.0
Cineteca Madrid,Cézanne + Una visita al Louvre,"Danièle Huillet, Jean-Marie Straub",,https://www.cinetecamadrid.com/programacion/cezanne-una-visita-al-louvre,['2025-03-25 20:00'],,,
Cine doré,Doña Francisquita,Hans Behrendt,1934,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4822,"['2025-03-11 20:30', '2025-03-26 21:00']",https://letterboxd.com/film/dona-francisquita-1934/,,23.0
Cineteca Madrid,El Jurado,Virginia García Del Pino,2012,https://www.cinetecamadrid.com/programacion/el-jurado-0,['2025-03-05 20:30'],https://letterboxd.com/film/the-jury/,,27.0
Cineteca Madrid,El reverso del placer,Varias autoras,,https://www.cinetecamadrid.com/programacion/el-reverso-del-placer,['2025-03-06 20:30'],,,
Cineteca Madrid,Entre las higueras,Erige Sehiri,2022,https://www.cinetecamadrid.com/programacion/entre-las-higueras,['2025-03-20 20:30'],,,
Cineteca Madrid,Fatamorgana,Salomé Lamas,2019,https://www.cinetecamadrid.com/programacion/fatamorgana,['2025-03-05 19:00'],https://letterboxd.com/film/fata-morgana-2019/,,9.0
Cine doré,Festival panafrican d’Alger,William Klein,1969,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4826,['2025-03-13 19:30'],https://letterboxd.com/film/the-panafrican-festival-in-algiers/,,289.0
Cine doré,Frames / Fragmentos,Gloria Martí,2004,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4850,['2025-03-27 19:30'],,,
Cine doré,Frames / Fragmentos,Gloria Martí,2004,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4829,['2025-03-14 20:30'],,,
Cineteca Madrid,Hija del volcán,Jenifer de la Rosa Martín,2024,https://www.cinetecamadrid.com/programacion/hija-del-volcan-0,['2025-03-07 19:30'],,,
Cineteca Madrid,Invasión pequeña,"Miguel Ángel Blanca, Jesús Manresa Puche",2024,https://www.cinetecamadrid.com/programacion/invasion-pequena-0,['2025-03-22 18:30'],https://letterboxd.com/film/invasion-pequena/,,7.0
Cineteca Madrid,La mejor idea (Un americano con el culo al aire),John Trent,1975,https://www.cinetecamadrid.com/programacion/la-mejor-idea-un-americano-con-el-culo-al-aire,['2025-03-07 20:00'],,,
Cineteca Madrid,La revolución de las musas,"Mar Nantas, Yaiza de Lamo, Juno Álvarez",2024,https://www.cinetecamadrid.com/programacion/la-revolucion-de-las-musas-0,"['2025-03-07 18:30', '2025-03-08 20:30', '2025-03-09 19:30']",https://letterboxd.com/film/la-revolucion-de-las-musas/,,24.0
Cine doré,Leo,José Luis Borau,2000,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4788,['2025-03-30 21:00'],https://letterboxd.com/film/leo-2000/,,150.0
Cineteca Madrid,Los flamencos,Jesús Yagüe,1968,https://www.cinetecamadrid.com/programacion/los-flamencos,['2025-03-19 20:30'],https://letterboxd.com/film/los-flamencos-1968/,,25.0
Cineteca Madrid,Maria K + Fantasmagoría,Juan Francisco González,,https://www.cinetecamadrid.com/programacion/maria-k-fantasmagoria,"['2025-03-14 20:30', '2025-03-15 18:30', '2025-03-16 19:00']",,,
Cineteca Madrid,Maternidades filmadas: El parto en la pantalla,,,https://www.cinetecamadrid.com/programacion/maternidades-filmadas-el-parto-en-la-pantalla,['2025-03-26 19:30'],,,
Cine doré,Mediometrajes de Naomi Kawase,,,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4821,['2025-03-20 19:30'],,,
Cine doré,Mediometrajes de Noami Kawase,,,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4820,['2025-03-11 17:30'],,,
Cineteca Madrid,Mujeres calvas,Sandra Román,2024,https://www.cinetecamadrid.com/programacion/mujeres-calvas,['2025-03-18 19:30'],,,
Cine doré,New York Film Diary,Milena Gierke,1995,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4840,['2025-03-21 19:00'],https://letterboxd.com/film/new-york-film-diary/,,284.0
Cine doré,New York Film Diary,Milena Gierke,1995,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4804,['2025-03-04 20:30'],https://letterboxd.com/film/new-york-film-diary/,,284.0
Cineteca Madrid,Paraules d'amor. Un assaig sobre les passions,Núria Güell,2024,https://www.cinetecamadrid.com/programacion/paraules-damor-un-assaig-sobre-les-passions,['2025-03-12 19:00'],,,
Cine doré,"País, S. A.",Antonio Fraguas “Forges”,1975,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4836,['2025-03-18 17:30'],,,
