theater,title,director,year,theater_film_link,dates,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cine doré,"Synecdoche, New York",Charlie Kaufman,2008,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5089,"['2025-07-03 18:00','2025-07-22 22:00']",https://letterboxd.com/film/synecdoche-new-york/,4.2,
Cine doré,The Conversation,Francis Ford Coppola,1974,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5090,"['2025-07-01 22:00','2025-07-20 18:00']",https://letterboxd.com/film/the-conversation/,4.2,
Cineteca Madrid,CinePlaza: Superestrellas 2 > Proyección: Summer of Soul,Questlove,2021,https://www.cinetecamadrid.com/programacion/cineplaza-superestrellas-2-proyeccion-summer-soul,['2025-07-06 22:15'],https://letterboxd.com/film/summer-of-soul-or-when-the-revolution-could/,4.2,
Cine doré,Blade Runner. El montaje final (2007),Ridley Scott,1982,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5086,"['2025-07-09 22:00','2025-07-19 20:30']",https://letterboxd.com/film/blade-runner/,4.1,
Cine doré,Jazz On A Summer's Day,Aram Avakian y Bert Stern,1959,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5052,"['2025-07-16 20:30','2025-07-04 22:00']",https://letterboxd.com/film/jazz-on-a-summers-day/,4.1,
Cineteca Madrid,CinePlaza: Superestrellas 2 > Cine comentado 10 de julio: Paloma Rando comenta Cabaret,Bob Fosse,1972,https://www.cinetecamadrid.com/programacion/cineplaza-superestrellas-2-cine-comentado-10-de-julio-paloma-rando-comenta-cabaret,['2025-07-10 22:15'],https://letterboxd.com/film/cabaret/,4.1,
Cine doré,Ex Machina,Alex Garland,2014,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5096,"['2025-07-16 22:00','2025-07-24 20:30']",https://letterboxd.com/film/ex-machina-2015/,4.0,
Cine doré,Sleuth,Joseph L. Mankiewicz,1972,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5097,"['2025-07-02 18:00','2025-07-24 21:45']",https://letterboxd.com/film/sleuth/,4.0,
Cine doré,2046,Wong Kar-Wai,2004,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5100,['2025-07-26 22:00'],https://letterboxd.com/film/2046/,4.0,
Cine doré,The French Connection,William Friedkin,1971,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5107,['2025-07-30 22:00'],https://letterboxd.com/film/the-french-connection/,4.0,
Cine doré,Él,Luis Buñuel,1953,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5079,['2025-07-17 18:00'],https://letterboxd.com/film/el/,4.0,
Cine doré,The French Connection,William Friedkin,1971,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5073,['2025-07-13 20:30'],https://letterboxd.com/film/the-french-connection/,4.0,
Cineteca Madrid,CinePlaza: Superestrellas 2 > Proyección: Wattstax,Mel Stuart,1973,https://www.cinetecamadrid.com/programacion/cineplaza-superestrellas-2-proyeccion-wattstax,['2025-07-20 22:15'],https://letterboxd.com/film/wattstax/,4.0,
Cineteca Madrid,CinePlaza: Superestrellas 2 > Proyección: A propósito de Llewyn Davis,"Joel Coen, Ethan Coen",2013,https://www.cinetecamadrid.com/programacion/cineplaza-superestrellas-2-proyeccion-proposito-de-llewyn-davis,['2025-07-19 22:15'],https://letterboxd.com/film/inside-llewyn-davis/,4.0,
