theater,title,director,year,theater_film_link,dates,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cine doré,Paris is Burning,Jennie Livingston,1990,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5036,['2025-06-27 21:00'],https://letterboxd.com/film/paris-is-burning/,4.5,245000.0
Cineteca Madrid,Antes del amanecer,Richard Linklater,1995,https://www.cinetecamadrid.com/programacion/antes-del-amanecer,['2025-06-01 20:00'],https://letterboxd.com/film/before-sunrise/,4.3,1400000.0
Cine doré,Metropolis,Fritz Lang,1927,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4980,['2025-06-04 17:30'],https://letterboxd.com/film/metropolis/,4.3,356000.0
Cineteca Madrid,Antes del atardecer,Richard Linklater,2004,https://www.cinetecamadrid.com/programacion/antes-del-atardecer,['2025-06-08 20:30'],https://letterboxd.com/film/before-sunset/,4.3,904000.0
Cineteca Madrid,¡Olvídate de mí!,Michel Gondry,2004,https://www.cinetecamadrid.com/programacion/olvidate-de-mi,['2025-06-18 20:00'],https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,4.2,3500000.0
Cineteca Madrid,Mysterious Skin,Gregg Araki,2004,https://www.cinetecamadrid.com/programacion/mysterious-skin,['2025-06-29 20:30'],https://letterboxd.com/film/mysterious-skin/,4.2,469000.0
Cineteca Madrid,Happy Together,Wong Kar-wai,1997,https://www.cinetecamadrid.com/programacion/happy-together,['2025-06-19 20:00'],https://letterboxd.com/film/happy-together-1997/,4.2,255000.0
Cine doré,Wall-E,Andrew Stanton,2008,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5005,['2025-06-14 17:30'],https://letterboxd.com/film/walle/,4.2,3500000.0
Cineteca Madrid,Shrek,"Andrew Adamson, Vicky Jenson",2001,https://www.cinetecamadrid.com/programacion/shrek,['2025-06-01 12:00'],https://letterboxd.com/film/shrek/,4.1,3500000.0
Cineteca Madrid,Tiresia,Bertrand Bonello,2023,https://www.cinetecamadrid.com/programacion/tiresia,['2025-06-11 20:30'],https://letterboxd.com/film/theres-still-tomorrow/,4.1,118000.0
Cineteca Madrid,SinÉl,Emilio Martínez-Borso Legerén,2024,https://www.cinetecamadrid.com/programacion/sinel,"['2025-06-07 20:30', '2025-06-08 19:30']",https://letterboxd.com/film/memoir-of-a-snail/,4.1,210000.0
Cine doré,L'année dernière à Marienbad,Alain Resnais,1961,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5017,['2025-06-19 20:00'],https://letterboxd.com/film/last-year-at-marienbad/,4.1,83000.0
Cine doré,Hellzapoppin´, H.C.Potter,1941,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4992,['2025-06-08 20:00'],https://letterboxd.com/film/hellzapoppin/,4.0,9400.0
Cine doré,Hellzapoppin´,H.C.Potter,1941,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5010,['2025-06-17 17:30'],https://letterboxd.com/film/hellzapoppin/,4.0,9400.0
Cineteca Madrid,Antes del anochecer,Richard Linklater,2013,https://www.cinetecamadrid.com/programacion/antes-del-anochecer,['2025-06-15 20:30'],https://letterboxd.com/film/before-midnight/,4.0,608000.0
Cine doré,Her,Spike Jonze,2013,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4995,['2025-06-11 17:30'],https://letterboxd.com/film/her/,4.0,2600000.0
Cine doré,Freaks,Tod Browning,1932,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5012,['2025-06-18 17:30'],https://letterboxd.com/film/freaks/,3.9,141000.0
Cineteca Madrid,Casa de tolerancia,Bertrand Bonello,2011,https://www.cinetecamadrid.com/programacion/casa-de-tolerancia,['2025-06-12 20:30'],https://letterboxd.com/film/house-of-tolerance/,3.9,26000.0
Cine doré,Les roseaux sauvages,André Téchiné,1994,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5037,['2025-06-28 17:30'],https://letterboxd.com/film/wild-reeds/,3.8,11000.0
Cineteca Madrid,Los Cazafantasmas,Ivan Reitman,1984,https://www.cinetecamadrid.com/programacion/los-cazafantasmas-1,['2025-06-08 12:00'],https://letterboxd.com/film/ghostbusters/,3.8,1500000.0
Cineteca Madrid,La ley del deseo,Pedro Almodóvar,1987,https://www.cinetecamadrid.com/programacion/la-ley-del-deseo,['2025-06-06 20:30'],https://letterboxd.com/film/law-of-desire/,3.8,55000.0
Cine doré,Gregorio,Grupo Chaski,1982,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5024,['2025-06-22 17:30'],https://letterboxd.com/film/the-ballad-of-gregorio-cortez/,3.7,2700.0
Cine doré,Cielo negro,Manuel Mur Oti,1951,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5031,['2025-06-26 17:30'],https://letterboxd.com/film/black-sky/,3.7,1100.0
Cine doré,Cielo negro,Manuel Mur Oti,1951,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5025,['2025-06-22 20:00'],https://letterboxd.com/film/black-sky/,3.7,1100.0
Cine doré,Stormy Weather,Andrew L. Stone,1943,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4981,['2025-06-04 19:30'],https://letterboxd.com/film/stormy-weather/,3.7,6900.0
Cine doré,Tout va bien,Jean-Luc Godard y Jean-Pierre Gorin,1972,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5028,['2025-06-25 17:30'],https://letterboxd.com/film/tout-va-bien/,3.6,17000.0
Cineteca Madrid,Gummo,Harmony Korine,1997,https://www.cinetecamadrid.com/programacion/gummo,['2025-06-22 20:30'],https://letterboxd.com/film/gummo/,3.6,199000.0
Cine doré,No Maps On My Taps,"George T. Nierenberg, Lynn Rogoff",1979,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5006,['2025-06-14 19:30'],https://letterboxd.com/film/no-maps-on-my-taps/,3.6,492.0
Cine doré,La vida por delante,Fernando Fernán Gómez,1958,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=5002,['2025-06-13 17:30'],https://letterboxd.com/film/life-ahead/,3.6,579.0
Cine doré,Tout va bien,Jean-Luc Godard y Jean-Pierre Gorin,1972,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4977,['2025-06-01 20:00'],https://letterboxd.com/film/tout-va-bien/,3.6,17000.0
