theater,title,director,year,theater_film_link,dates,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cineteca Madrid,El viaje de Chihiro,Hayao Miyazaki,2002,https://www.cinetecamadrid.com/programacion/el-viaje-de-chihiro,['2025-02-90 12:00'],https://letterboxd.com/film/spirited-away/,4.4,3500000
Cineteca Madrid,El Castillo Ambulante,Hayao Miyazaki,2004,https://www.cinetecamadrid.com/programacion/el-castillo-ambulante-0,['2025-02-16 12:00'],https://letterboxd.com/film/howls-moving-castle/,4.3,2300000.0
Cineteca Madrid,Los niños del paraíso,Marcel Carné,1945,https://www.cinetecamadrid.com/programacion/los-ninos-del-paraiso,['2025-02-70 19:00'],https://letterboxd.com/film/children-of-paradise/,4.3,31000.0
Cineteca Madrid,Tres colores: Rojo,Krzysztof Kieślowski,1994,https://www.cinetecamadrid.com/programacion/tres-colores-rojo-0,['2025-02-20 19:30'],https://letterboxd.com/film/three-colours-red/,4.3,212000.0
Cineteca Madrid,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Chantal Akerman,1976,https://www.cinetecamadrid.com/programacion/jeanne-dielman-23-quai-du-commerce-1080-bruxelles-0,['2025-02-13 18:30'],https://letterboxd.com/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/,4.3,101000
Cine doré,In a Lonely Place,Nicholas Ray,1950,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4746,"['2025-02-01 21:00', '2025-02-11 21:00']",https://letterboxd.com/film/in-a-lonely-place/,4.2,88000.0
Cineteca Madrid,Twin Peaks: Fuego camina conmigo,David Lynch,1992,https://www.cinetecamadrid.com/programacion/twin-peaks-fuego-camina-conmigo-0,['2025-02-10 20:30'],https://letterboxd.com/film/twin-peaks-fire-walk-with-me/,4.2,370000.0
Cineteca Madrid,Tres colores: Azul,Krzysztof Kieślowski,1993,https://www.cinetecamadrid.com/programacion/tres-colores-azul-1,['2025-02-18 19:30'],https://letterboxd.com/film/three-colours-blue/,4.2,280000.0
Cineteca Madrid,Mi vecino Totoro,Hayao Miyazaki,1988,https://www.cinetecamadrid.com/programacion/mi-vecino-totoro-0,['2025-02-20 12:00'],https://letterboxd.com/film/my-neighbor-totoro/,4.2,2000000.0
Cine doré,F. for Fake,Orson Welles,1973,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4790,['2025-02-25 20:30'],https://letterboxd.com/film/f-for-fake/,4.2,76000
Cineteca Madrid,El año pasado en Marienbad,Alain Resnais,1961,https://www.cinetecamadrid.com/programacion/el-ano-pasado-en-marienbad,['2025-02-11 20:00'],https://letterboxd.com/film/last-year-at-marienbad/,4.1,77000.0
Cineteca Madrid,La llegada,Denis Villeneuve,2016,https://www.cinetecamadrid.com/programacion/la-llegada-1,['2025-02-25 20:00'],https://letterboxd.com/film/arrival-2016/,4.1,2500000.0
Cine doré,The Big Heat,Fritz Lang,1953,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4751,"['2025-02-04 20:30', '2025-02-16 17:30']",https://letterboxd.com/film/the-big-heat/,4.1,55000.0
Cineteca Madrid,"Nunca, casi nunca, a veces, siempre",Eliza Hittman,2020,https://www.cinetecamadrid.com/programacion/nunca-casi-nunca-veces-siempre,['2025-02-20 19:30'],https://letterboxd.com/film/never-rarely-sometimes-always/,4.0,129000.0
Cineteca Madrid,Un chant d’amour,Jean Genet,1954,https://www.cinetecamadrid.com/programacion/un-chant-damour,['2025-02-10 18:30'],https://letterboxd.com/film/song-of-love-1954/,4.0,15000.0
Cineteca Madrid,Conferencia de Javier Gomá + El sabor del té verde con arroz,Yasujirô Ozu,1952,https://www.cinetecamadrid.com/programacion/conferencia-de-javier-goma-el-sabor-del-te-verde-con-arroz,['2025-02-60 19:00'],https://letterboxd.com/film/the-flavor-of-green-tea-over-rice/,4.0,13000
Cineteca Madrid,Las manos en los bolsillos,Marco Bellocchio,1965,https://www.cinetecamadrid.com/programacion/las-manos-en-los-bolsillos,['2025-02-40 20:00'],https://letterboxd.com/film/fists-in-the-pocket/,3.9,12000.0
Cineteca Madrid,Gertrud,Carl Theodor Dreyer,1964,https://www.cinetecamadrid.com/programacion/gertrud,['2025-02-12 20:00'],https://letterboxd.com/film/gertrud/,3.9,15000.0
Cineteca Madrid,El chico y la garza,Hayao Miyazaki,2023,https://www.cinetecamadrid.com/programacion/el-chico-y-la-garza,['2025-02-23 12:00'],https://letterboxd.com/film/the-boy-and-the-heron/,3.9,1100000.0
Cine doré,L'illusionniste,Sylvain Chomet,2010,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4759,['2025-02-08 17:30'],https://letterboxd.com/film/the-illusionist-2010/,3.9,42000.0
Cine doré,The Piano,Jane Campion,1993,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4785,['2025-02-21 20:00'],https://letterboxd.com/film/the-piano/,3.9,160000.0
Cine doré,Land and Freedom,Ken Loach,1995,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4762,"['2025-02-09 17:30', '2025-02-20 17:30']",https://letterboxd.com/film/land-and-freedom/,3.8,14000.0
