theater,title,theater_film_link,dates,director,year,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cine Doré,El círculo,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-circulo-2,['2026-02-04 19:00'],Jafar Panahi,2000.0,https://letterboxd.com/film/the-circle/,3.8,
Cine Doré,El crimen del Sr. Lange,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-crimen-del-sr-lange,['2026-02-08 19:00'],Jean Renoir,1936.0,https://letterboxd.com/film/the-crime-of-monsieur-lange/,3.7,
Cine Doré,El globo atado,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-globo-atado,['2026-02-27 19:00'],Binka Zhelyazkova,1967.0,https://letterboxd.com/film/the-tied-up-balloon/,3.7,
Cine Doré,El pan nuestro de cada día,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-pan-nuestro-de-cada-dia,['2026-02-25 19:00'],King Vidor,1934.0,https://letterboxd.com/film/our-daily-bread-1934/,3.7,
Cine Doré,Dodes'ka-den,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/dodes-ka-den,['2026-02-18 19:00'],Akira Kurosawa,1970.0,https://letterboxd.com/film/dodeska-den/,3.7,
Cineteca Madrid,An Honest Liar,https://www.cinetecamadrid.com/programacion/honest-liar,['2026-02-06 19:00'],"Tyler Measom, Justin Weinstein",2014.0,https://letterboxd.com/film/an-honest-liar/,3.7,
Cineteca Madrid,Correspondencias Jonas Mekas – J.L. Guerin,https://www.cinetecamadrid.com/programacion/correspondencias-jonas-mekas-jl-guerin,['2026-02-19 19:30'],"Jonas Mekas, José Luis Guerin",2011.0,https://letterboxd.com/film/cinematic-correspondences-jonas-mekas-jl-guerin/,3.7,
Cineteca Madrid,En construcción,https://www.cinetecamadrid.com/programacion/en-construccion,['2026-02-15 19:30'],José Luis Guerin,2000.0,https://letterboxd.com/film/work-in-progress/,3.7,
Cineteca Madrid,Privilege,https://www.cinetecamadrid.com/programacion/privilege-0,['2026-02-18 19:30'],Yvonne Rainer,1990.0,https://letterboxd.com/film/privilege-1990/,3.7,
Cineteca Madrid,Unas fotos en la ciudad de Sylvia,https://www.cinetecamadrid.com/programacion/unas-fotos-en-la-ciudad-de-sylvia,['2026-02-18 19:30'],José Luis Guerin,2007.0,https://letterboxd.com/film/some-photos-in-the-city-of-sylvia/,3.6,
Cineteca Madrid,Innisfree,https://www.cinetecamadrid.com/programacion/innisfree,['2026-02-04 19:30'],José Luis Guerin,1990.0,https://letterboxd.com/film/innisfree/,3.6,
Cineteca Madrid,La academia de las musas,https://www.cinetecamadrid.com/programacion/la-academia-de-las-musas,['2026-02-27 20:30'],José Luis Guerin,2015.0,https://letterboxd.com/film/the-academy-of-muses/,3.6,
Cine Doré,Mapantsula,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/mapantsula,['2026-02-26 19:00'],Oliver Schmitz,1988.0,https://letterboxd.com/film/mapantsula/,3.6,
Cine Doré,Macunaíma,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/macunaima,['2026-02-19 19:00'],Joaquim Pedro de Andrade,1969.0,https://letterboxd.com/film/macunaima/,3.6,
Cineteca Madrid,Los motivos de Berta,https://www.cinetecamadrid.com/programacion/los-motivos-de-berta,['2026-02-01 19:30'],José Luis Guerin,1983.0,https://letterboxd.com/film/bertas-motives/,3.6,
Cineteca Madrid,"Al oeste, en Zapata",https://www.cinetecamadrid.com/programacion/al-oeste-en-zapata,['2026-02-20 19:30'],David Bim,2025.0,https://letterboxd.com/film/to-the-west-in-zapata/,3.5,
Cineteca Madrid,"Eloy de la Iglesia, adicto al cine",https://www.cinetecamadrid.com/programacion/eloy-de-la-iglesia-adicto-al-cine-0,"['2026-02-07 18:00', '2026-02-08 20:30', '2026-02-12 20:30', '2026-02-13 20:30']",Gaizka Urresti,2025.0,https://letterboxd.com/film/eloy-de-la-iglesia-film-addict/,3.5,
Cineteca Madrid,Door,https://www.cinetecamadrid.com/programacion/door,['2026-02-26 20:00'],Banmei Takahashi,1988.0,https://letterboxd.com/film/door-1988/,3.5,
Cineteca Madrid,Creatura,https://www.cinetecamadrid.com/programacion/creatura,['2026-02-05 20:00'],Elena Martín Gimeno,2023.0,https://letterboxd.com/film/creatura-2023/,3.5,
Cine Doré,Goya en Burdeos,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/goya-en-burdeos,['2026-02-24 19:00'],Carlos Saura,1999.0,https://letterboxd.com/film/goya-in-bordeaux/,3.3,
Cineteca Madrid,Alicia en el país de las maravillas (2010),https://www.cinetecamadrid.com/programacion/alicia-en-el-pais-de-las-maravillas-2010,['2026-02-22 12:00'],Tim Burton,2010.0,https://letterboxd.com/film/alice-in-wonderland-2010/,3.3,
Cineteca Madrid,Door II: Tokyo Diary,https://www.cinetecamadrid.com/programacion/door-ii-tokyo-diary,['2026-02-27 20:00'],Banmei Takahashi,1991.0,https://letterboxd.com/film/door-ii-tokyo-diary/,3.2,
Cineteca Madrid,Father Mother Sister Brother,https://www.cinetecamadrid.com/programacion/father-mother-sister-brother-0,"['2026-02-21 18:00', '2026-02-22 19:00', '2026-02-25 19:00', '2026-02-26 19:00']",Jim Jarmusch,2025.0,https://letterboxd.com/film/father-mother-sister-brother/,3.2,
Cineteca Madrid,Me siento extraña,https://www.cinetecamadrid.com/programacion/me-siento-extrana,['2026-02-28 19:00'],Enrique Martí Maqueda,1977.0,https://letterboxd.com/film/i-feel-strange/,3.2,
Cineteca Madrid,Bumpkin Soup,https://www.cinetecamadrid.com/programacion/bumpkin-soup,['2026-02-25 20:00'],Kiyoshi Kurosawa,1985.0,https://letterboxd.com/film/bumpkin-soup/,3.1,
Cineteca Madrid,El increíble Burt Wonderstone,https://www.cinetecamadrid.com/programacion/el-increible-burt-wonderstone,['2026-02-07 20:30'],Don Scardino,2013.0,https://letterboxd.com/film/the-incredible-burt-wonderstone/,2.5,
Cineteca Madrid,CIMA en corto: Un lugar al que llamar (Correspondencias íntimas),https://www.cinetecamadrid.com/programacion/cima-en-corto-un-lugar-al-que-llamar-correspondencias-intimas,['2026-02-25 19:00'],Varias autoras,,,0.0,
Cineteca Madrid,Capítulo XXVIII: Sueños sonoros (músicas oníricas),https://www.cinetecamadrid.com/programacion/capitulo-xxviii-suenos-sonoros-musicas-oniricas,['2026-02-11 19:30'],,,,0.0,
