theater,title,director,year,theater_film_link,dates,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cineteca Madrid,Barry Lyndon,Stanley Kubrick,1975,https://www.cinetecamadrid.com/programacion/barry-lyndon,['2025-04-06 19:30'],https://letterboxd.com/film/barry-lyndon/,4.4,372000.0
Cineteca Madrid,Todos nos llamamos Alí,Rainer Werner Fassbinder,1974,https://www.cinetecamadrid.com/programacion/todos-nos-llamamos-ali,['2025-04-16 20:00'],https://letterboxd.com/film/ali-fear-eats-the-soul/,4.2,82000.0
Cine doré,La grande Illusion,Jean Renoir,1937,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4896,['2025-04-20 17:30'],https://letterboxd.com/film/grand-illusion/,4.2,65000.0
Cineteca Madrid,El circo,Charlie Chaplin,1928,https://www.cinetecamadrid.com/programacion/el-circo,['2025-04-20 19:00'],https://letterboxd.com/film/the-circus/,4.1,58000.0
Cineteca Madrid,Las amargas lágrimas de Petra von Kant,Rainer Werner Fassbinder,1972,https://www.cinetecamadrid.com/programacion/las-amargas-lagrimas-de-petra-von-kant,['2025-04-05 20:00'],https://letterboxd.com/film/the-bitter-tears-of-petra-von-kant/,4.1,46000.0
Cine doré,The Saragossa Manuscript,Wojciech Has,1965,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4875,['2025-04-09 19:30'],https://letterboxd.com/film/the-saragossa-manuscript/,4.1,8500.0
Cine doré,The Saragossa Manuscript,Wojciech Has,1965,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4876,['2025-04-23 18:30'],https://letterboxd.com/film/the-saragossa-manuscript/,4.1,8500.0
Cineteca Madrid,Un año con trece lunas,Rainer Werner Fassbinder,1978,https://www.cinetecamadrid.com/programacion/un-ano-con-trece-lunas,['2025-04-26 20:30'],https://letterboxd.com/film/in-a-year-with-13-moons/,4.0,13000.0
Cineteca Madrid,El matrimonio de María Braun,Rainer Werner Fassbinder,1979,https://www.cinetecamadrid.com/programacion/el-matrimonio-de-maria-braun,['2025-04-13 20:00'],https://letterboxd.com/film/the-marriage-of-maria-braun/,4.0,34000.0
Cine doré,Sullivan’s Travels, Preston Sturges,1941,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4893,['2025-04-19 17:30'],https://letterboxd.com/film/sullivans-travels/,4.0,54000.0
Cine doré,The Muppets Movie,James Frawley,1979,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4865,['2025-04-05 17:30'],https://letterboxd.com/film/the-muppet-movie/,4.0,169000.0
Cine doré,Isle of Dogs, Wes Anderson,2018,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4868,['2025-04-06 11:30'],https://letterboxd.com/film/isle-of-dogs-2018/,4.0,1200000.0
Cineteca Madrid,Big Fish,Tim Burton,2003,https://www.cinetecamadrid.com/programacion/big-fish,['2025-04-27 12:00'],https://letterboxd.com/film/big-fish/,3.9,744000.0
Cine doré,The Big Parade,King Vidor,1925,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4864,"['2025-04-04 20:00', '2025-04-16 17:30']",https://letterboxd.com/film/the-big-parade/,3.9,8300.0
Cine doré,"O Brother, ¿Where Art Thou?",,,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4885,['2025-04-12 17:30'],https://letterboxd.com/film/o-brother-where-art-thou/,3.9,620000.0
Cine doré,The Noose,Wojciech Has,1958,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4882,"['2025-04-11 19:30', '2025-04-26 19:00']",https://letterboxd.com/film/the-noose-1958/,3.9,2800.0
Cine doré,Unfaithfully Yours,Preston Sturges,1948,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4863,"['2025-04-04 17:30', '2025-04-20 20:30']",https://letterboxd.com/film/unfaithfully-yours/,3.8,10000.0
Cine doré,Hail the Conquering Hero,Preston Sturges,1944,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4857,"['2025-04-01 20:30', '2025-04-11 20:30']",https://letterboxd.com/film/hail-the-conquering-hero/,3.8,7800.0
Cineteca Madrid,Lola,Rainer Werner Fassbinder,1981,https://www.cinetecamadrid.com/programacion/lola-0,['2025-04-29 20:00'],https://letterboxd.com/film/lola-1981/,3.8,15000.0
Cineteca Madrid,Fausto,Jan Švankmajer,1994,https://www.cinetecamadrid.com/programacion/fausto,['2025-04-15 20:30'],https://letterboxd.com/film/faust/,3.8,10000.0
Cine doré,Dishonored,Josef von Sternberg,1931,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4880,"['2025-04-10 20:30', '2025-04-15 17:30']",https://letterboxd.com/film/dishonored/,3.8,9900.0
Cine doré,The Darjeeling Limited,Wes Anderson,2007,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4905,['2025-04-26 17:30'],https://letterboxd.com/film/the-darjeeling-limited/,3.8,660000.0
Cine doré,Sambizanga,,,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4902,['2025-04-24 20:00'],https://letterboxd.com/film/sambizanga/,3.8,7200.0
Cine doré,The Good Fairy, William Wyler,1935,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4887,['2025-04-12 21:00'],https://letterboxd.com/film/the-good-fairy/,3.8,2400.0
Cine doré,The Palm Beach Story,Preston Sturges,1942,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4877,['2025-04-10 17:30'],https://letterboxd.com/film/the-palm-beach-story/,3.8,24000.0
Cine doré,The Miracle of Morgan's Creek,Preston Sturges,1944,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4858,['2025-04-02 17:30'],https://letterboxd.com/film/the-miracle-of-morgans-creek/,3.8,10000.0
Cineteca Madrid,Querelle,Rainer Werner Fassbinder,1982,https://www.cinetecamadrid.com/programacion/querelle,['2025-04-30 20:00'],https://letterboxd.com/film/querelle/,3.7,29000.0
Cine doré,Konets Sankt-Peterburga,Vsevolod Pudovkin,1927,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4906,['2025-04-27 17:30'],https://letterboxd.com/film/the-end-of-st-petersburg/,3.7,2700.0
Cine doré,Profundo carmesí,Arturo Ripstein,1996,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4860,"['2025-04-03 17:30', '2025-04-27 20:30']",https://letterboxd.com/film/deep-crimson/,3.7,4000.0
Cine doré,Easy Living,Mitchell Leisen,1937,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4867,"['2025-04-05 21:00', '2025-04-29 17:30']",https://letterboxd.com/film/easy-living/,3.7,7900.0
Cineteca Madrid,El día de la Bestia,Álex de la Iglesia,1995,https://www.cinetecamadrid.com/programacion/el-dia-de-la-bestia,['2025-04-03 20:30'],https://letterboxd.com/film/the-day-of-the-beast/,3.7,52000.0
Cine doré,An Uneventful Story,Wosciech Has,1983,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4890,['2025-04-15 20:30'],https://letterboxd.com/film/an-uneventful-story/,3.6,333.0
Cineteca Madrid,Atención a esa prostituta tan querida,Rainer Werner Fassbinder,1971,https://www.cinetecamadrid.com/programacion/atencion-esa-prostituta-tan-querida,['2025-04-03 20:00'],https://letterboxd.com/film/beware-of-a-holy-whore/,3.6,8700.0
Cine doré,Pozegnania,Wojciech Has,1958,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4878,['2025-04-10 19:30'],https://letterboxd.com/film/farewells/,3.6,789.0
Cineteca Madrid,La tercera generación,Rainer Werner Fassbinder,1979,https://www.cinetecamadrid.com/programacion/la-tercera-generacion,['2025-04-27 20:00'],https://letterboxd.com/film/the-third-generation/,3.6,7100.0
Cine doré,En el balcón vacío,Jomí Garcia Ascot,1961,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4908,['2025-04-30 17:30'],https://letterboxd.com/film/on-the-empty-balcony/,3.6,619.0
Cineteca Madrid,Effi Briest,Rainer Werner Fassbinder,1974,https://www.cinetecamadrid.com/programacion/effi-briest,['2025-04-09 20:00'],https://letterboxd.com/film/effi-briest/,3.6,4300.0
Cine doré,La flor de mi secreto,Pedro Almodóvar,1995,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4883,"['2025-04-02 20:30', '2025-04-26 21:00']",https://letterboxd.com/film/the-flower-of-my-secret/,3.6,29000.0
