theater,title,director,year,theater_film_link,dates,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cine doré,2001: A Space Odyssey, Stanley Kubrick,1968,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4926,['2025-05-09 20:30'],https://letterboxd.com/film/2001-a-space-odyssey/,4.3,1600000.0
Cine doré,The iron giant, Brad Bird,1999,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4927,['2025-05-10 17:30'],https://letterboxd.com/film/the-iron-giant/,4.3,928000.0
Cine doré,La grande illusion,Jean Renoir,1937,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4914,['2025-05-04 17:30'],https://letterboxd.com/film/grand-illusion/,4.2,66000.0
Cineteca Madrid,Sans soleil,Chris Marker,1983,https://www.cinetecamadrid.com/programacion/sans-soleil,['2025-05-16 20:30'],https://letterboxd.com/film/sans-soleil/,4.2,61000.0
Cineteca Madrid,Vestida de azul,Antonio Giménez-Rico,1983,https://www.cinetecamadrid.com/programacion/vestida-de-azul,['2025-05-07 18:00'],https://letterboxd.com/film/dressed-in-blue/,4.2,3600.0
Cine doré,The Broken Lullaby,Ernst Lubitsch,1932,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4930,['2025-05-10 21:00'],https://letterboxd.com/film/broken-lullaby/,3.9,4200.0
Cineteca Madrid,Level Five,Chris Marker,1997,https://www.cinetecamadrid.com/programacion/level-five-1,['2025-05-22 20:30'],https://letterboxd.com/film/level-five/,3.8,4400.0
Cine doré,Pilrimage,John Ford,1933,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4913,['2025-05-03 20:30'],https://letterboxd.com/film/pilgrimage-1933/,3.8,2400.0
Cine doré,Jak byc kochana,Wojciech Has,1963,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4919,['2025-05-07 19:00'],https://letterboxd.com/film/how-to-be-loved/,3.7,2300.0
Cine doré,Tacones lejanos,Pedro Almodóvar,1991,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4933,['2025-05-11 20:00'],https://letterboxd.com/film/high-heels/,3.7,56000.0
Cineteca Madrid,The Iron Ministry,J.P. Sniadecki,2014,https://www.cinetecamadrid.com/programacion/iron-ministry,['2025-05-14 20:30'],https://letterboxd.com/film/the-iron-ministry/,3.6,934.0
Cineteca Madrid,¡Ya México no existirá más!,Annalisa D. Quagliata Blanco,2024,https://www.cinetecamadrid.com/programacion/ya-mexico-no-existira-mas,"['2025-05-23 20:30', '2025-05-24 17:30', '2025-05-25 20:00']",https://letterboxd.com/film/aoquic-iez-in-mexico-mexico-will-no-longer/,3.6,400.0
Cineteca Madrid,7 promenades avec Mark Brown,"Pierre Creton, Vincent Barré",2024,https://www.cinetecamadrid.com/programacion/7-promenades-avec-mark-brown,['2025-05-09 20:30'],https://letterboxd.com/film/7-walks-with-mark-brown/,3.6,643.0
Cine doré,Espelho mágico,Manoel de Oliveira,2005,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4918,['2025-05-07 17:30'],https://letterboxd.com/film/magic-mirror/,3.6,381.0
Cineteca Madrid,A Fidai Film,Kamal Aljafari,2024,https://www.cinetecamadrid.com/programacion/fidai-film,"['2025-05-16 18:00', '2025-05-17 20:00', '2025-05-18 20:00', '2025-05-22 19:30']",https://letterboxd.com/film/a-fidai-film/,3.6,1700.0
Cine doré,A Fidai Film,Kamal Aljafari,2024,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4920,['2025-05-07 20:30'],https://letterboxd.com/film/a-fidai-film/,3.6,1700.0
Cine doré,Hélas pour moi,Jean-Luc Godard,1993,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4931,['2025-05-11 17:30'],https://letterboxd.com/film/oh-woe-is-me/,3.6,4300.0
Cine doré,Osobisty pamietnik grzesznika przez niego samego spisany, Wojciech Has,1986,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4924,['2025-05-09 17:30'],https://letterboxd.com/film/memoirs-of-a-sinner/,3.5,535.0
Cine doré,The Codes,Wojciech Has,1966,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4915,['2025-05-04 20:00'],https://letterboxd.com/film/the-codes/,3.5,576.0
Cine doré,Petra,Jaime Rosales,2018,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4917,['2025-05-06 20:30'],https://letterboxd.com/film/petra/,3.5,2200.0
Cineteca Madrid,Juegos de guerra,John Badham,1983,https://www.cinetecamadrid.com/programacion/juegos-de-guerra,['2025-05-04 12:00'],https://letterboxd.com/film/wargames/,3.5,144000.0
Cineteca Madrid,"Dunia, Kiss Me Not on the Eyes",Jocelyne Saab,2005,https://www.cinetecamadrid.com/programacion/dunia-kiss-me-not-eyes,['2025-05-30 20:00'],https://letterboxd.com/film/dunia-2005/,3.5,874.0
Cineteca Madrid,Description d’un combat,Chris Marker,1960,https://www.cinetecamadrid.com/programacion/description-dun-combat,['2025-05-18 20:30'],https://letterboxd.com/film/description-of-a-struggle/,3.5,902.0
Cineteca Madrid,Ernest Cole: Lost and Found,Raoul Peck,2024,https://www.cinetecamadrid.com/programacion/ernest-cole-lost-and-found,"['2025-05-16 20:00', '2025-05-17 18:00', '2025-05-18 19:30', '2025-05-20 19:30']",https://letterboxd.com/film/ernest-cole-lost-and-found/,3.5,3900.0
Cine doré,An Unusual Summer,Kamal Aljafari,2020,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4929,['2025-05-10 19:30'],https://letterboxd.com/film/an-unusual-summer/,3.5,409.0
Cineteca Madrid,A nuestros amigos,Adrián Orr,2024,https://www.cinetecamadrid.com/programacion/nuestros-amigos-0,"['2025-05-02 20:30', '2025-05-03 20:30', '2025-05-04 20:30', '2025-05-13 19:30']",https://letterboxd.com/film/to-our-friends/,3.4,473.0
Cine doré,Lalka,Wojciech Has,1968,https://entradasfilmoteca.gob.es/FichaPelicula.aspx?id=1&idPelicula=4916,['2025-05-06 17:30'],https://letterboxd.com/film/the-doll-1968/,3.4,1300.0
Cineteca Madrid,Nasty,"Tudor Giurgiu, Cristian Pascariu, Tudor D. Popescu",2024,https://www.cinetecamadrid.com/programacion/nasty,['2025-05-24 20:00'],https://letterboxd.com/film/nasty-2024/,3.4,972.0
Cineteca Madrid,Monólogo colectivo,Jessica Sarah Rinland,2024,https://www.cinetecamadrid.com/programacion/monologo-colectivo,['2025-05-08 20:30'],https://letterboxd.com/film/collective-monologue/,3.3,576.0
Cineteca Madrid,Ready Player One,Steven Spielberg,2018,https://www.cinetecamadrid.com/programacion/ready-player-one,['2025-05-18 12:00'],https://letterboxd.com/film/ready-player-one/,3.3,1500000.0
